nombre,lat,lng,poblacion,area,region
Romeral,-34.9622896,-71.1319939,14460,1597,Maule
Saavedra,-38.7832999,-73.4,13481,400.8,La Araucanía
Sagrada Familia,-34.9984205,-71.3445822,17839,548.8,Maule
Salamanca,-31.782493,-70.9607105,25671,3445,Coquimbo
San Antonio,-33.5922807,-71.6055123,87697,405,Valparaiso
San Bernardo,-33.6005906,-70.7060687,277802,155,Metropolitana de Santiago
San Carlos,-36.42615,-71.9708343,51335,874,Biobío
San Clemente,-35.5364676,-71.4893705,39554,4504,Maule
San Esteban,-32.8004995,-70.5798032,17371,681,Valparaiso
San Fabián,-36.55,-71.55,3503,1568.3,Biobío
San Felipe,-32.75,-70.7208115,72121,186,Valparaiso
San Fernando,-34.5858603,-70.9907801,75221,2441,'Libertador General Bernardo O''Higgins'
San Ignacio,-36.533333,-72.433333,15770,363.6,Biobío
San Javier,-35.5930962,-71.7325021,40881,1313,Maule
San Joaquín,-33.496202,-70.6283361,94255,9.7,Metropolitana de Santiago
San José de Maipo,-33.643169,-70.345207,14455,4994.8,Metropolitana de Santiago
San Juan de la Costa,-40.516667,-73.4,7997,1517,Los Lagos
San Miguel,-33.4923545,-70.651797,90846,10,Metropolitana de Santiago
San Nicolás,-36.5,-72.2167,10051,490.5,Biobío
San Pablo,-40.4124926,-73.0124926,9150,637.3,Los Lagos
San Pedro,-33.8950912,-71.4563779,8062,788,Metropolitana de Santiago
San Pedro de Atacama,-22.9087073,-68.1997156,5605,23439,Antofagasta
San Pedro de La Paz,-36.8305354,-73.1167368,94827,112.5,Biobío
San Rafael,-35.3074574,-71.5234986,8512,263.5,Maule
San Ramón,-33.538901,-70.6424989,85195,7,Metropolitana de Santiago
San Rosendo,-37.2620301,-72.7231119,3627,92.4,Biobío
San Vicente de Tagua Tagua,-34.433891,-71.078598,47716,497.8,'Libertador General Bernardo O''Higgins'
Santa Bárbara,-37.6667,-72.0167,14612,1254.9,Biobío
Santa Cruz,-34.6324213,-71.3592116,35255,419.5,'Libertador General Bernardo O''Higgins'
Santa Juana,-37.1749687,-72.9457031,13331,731.2,Biobío
Santa María,-32.7470027,-70.6587073,14504,166.3,Valparaiso
Santiago,-33.4488897,-70.6692655,237369,22,Metropolitana de Santiago
Santo Domingo,-33.635833,-71.628056,9205,536,Valparaiso
Sierra Gorda,-22.8860128,-69.3171995,1206,12886,Antofagasta
Talagante,-33.6637468,-70.9273937,78887,126,Metropolitana de Santiago
Talca,-35.4232444,-71.6484804,264842,232,Maule
Talcahuano,-36.7247834,-73.1169808,171673,92.3,Biobío
Taltal,-25.406494,-70.4803027,13493,20405.1,Antofagasta
Temuco,-38.7359018,-72.5903739,269992,464,La Araucanía
Teno,-34.8702993,-71.1664033,28228,618.4,Maule
Teodoro Schmidt,-38.9991844,-73.0942969,15793,649.9,La Araucanía
Tierra Amarilla,-27.4671706,-70.2652196,13912,11191,Atacama
Tiltil,-33.0838906,-70.9279843,16405,653,Metropolitana de Santiago
Timaukel,-54.294722,-69.1675,873,10758.9,Magallanes y de la Antártica Chilena
Tirúa,-38.3419149,-73.495516,10859,624.4,Biobío
Tocopilla,-22.0857976,-70.1930064,20091,4038.8,Antofagasta
Toltén,-39.2043263,-73.2077436,10403,860.4,La Araucanía
Tomé,-36.6131562,-72.9588593,55764,494.5,Biobío
Tortel,-47.8015353,-73.5358494,531,19710.6,Aisén del General Carlos Ibáñez del Campo
Traiguén,-38.25,-72.6833,18357,908,La Araucanía
Treguaco,-36.4211406,-72.6605937,4995,313.1,Biobío
Tucapel,-37.2923048,-71.9512186,13442,914.9,Biobío
Valdivia,-39.8173788,-73.2425333,163148,1016,Los Ríos
Vallenar,-28.5757953,-70.7571009,52099,7084,Atacama
Valparaíso,-33.047238,-71.6126885,308137,401.6,Valparaiso
Vichuquén,-34.8837446,-71.9953972,4335,426,Maule
Victoria,-38.2326538,-72.3515084,33127,1256,La Araucanía
Vicuña,-30.0319,-70.7081,26029,7610,Coquimbo
Vilcún,-38.6677187,-72.2244406,23823,1420.9,La Araucanía
Villa Alegre,-35.6761961,-71.7439129,15428,190,Maule
Villa Alemana,-33.0516935,-71.3906234,135368,97,Valparaiso
Villarrica,-39.2820124,-72.2307798,56178,1291.1,La Araucanía
Viña del Mar,-33.0153481,-71.5500276,311399,121.6,Valparaiso
Vitacura,-33.3905211,-70.5724124,84195,28.3,Metropolitana de Santiago
Yerbas Buenas,-35.750077,-71.5837328,17158,262,Maule
Yumbel,-37.0833,-72.5667,20572,727,Biobío
Yungay,-37.1220156,-72.0131562,18234,823.5,Biobío
Zapallar,-32.5538059,-71.4581359,6726,288,Valparaiso
