idEla,lat,lng,comuna,fecha
678,-43.1170487,-73.6093628,Quellón,2016-06-10 14:00:00
679,\N,\N,Osorno,2016-06-16 15:00:00
680,\N,\N,Colbún,2016-06-21 15:00:00
681,-34.1633342,-70.7393593,Rancagua,2016-05-23 18:00:00
682,\N,\N,Providencia,2016-06-18 16:00:00
687,-33.4384016,-70.6381486,Santiago,2016-06-22 18:00:00
688,-33.591014,-70.618904,La Pintana,2016-06-22 15:00:00
689,-36.6043897,-72.1047022,Chillán,2016-06-08 14:45:00
690,-33.4371628,-70.6456344,Santiago,2016-06-08 19:00:00
691,\N,\N,Santiago,2016-06-04 09:35:00
692,\N,\N,Antofagasta,2016-06-25 18:00:00
693,\N,\N,Huechuraba,2016-06-18 18:00:00
694,\N,\N,Vitacura,2016-06-13 15:00:00
695,\N,\N,Quinta Normal,2016-06-23 20:00:00
698,-33.4025774,-71.1284219,Curacaví,2016-06-16 19:00:00
699,-33.555951,-70.6447705,San Ramón,2016-06-17 18:00:00
700,-22.4517459,-68.946148,Calama,2016-06-25 15:30:00
701,\N,\N,Providencia,2016-06-24 19:00:00
702,-33.4463212,-70.6471729,Santiago,2016-06-25 14:00:00
704,\N,\N,El Carmen,2016-05-30 16:00:00
705,\N,\N,La Serena,2016-06-27 15:00:00
706,-33.4378421,-70.6389636,Santiago,2016-05-14 17:00:00
708,\N,\N,San Miguel,2016-04-23 17:00:00
710,-33.7333333,-70.7400198,Buin,2016-06-04 17:00:00
713,-27.399854,-70.2928262,Copiapó,2016-06-24 20:00:00
714,-33.4451792,-70.6550497,Santiago,2016-06-13 18:00:00
717,\N,\N,Vitacura,2016-06-05 16:00:00
719,\N,\N,La Florida,2016-06-11 10:00:00
720,\N,\N,Coronel,2016-06-10 13:45:00
721,-41.8166149,-72.7160209,Hualaihué,2016-06-21 18:00:00
722,-40.5791484,-73.1014806,Osorno,2016-06-16 09:00:00
723,\N,\N,Valparaíso,2016-06-13 09:00:00
726,\N,\N,Cochrane,2016-06-11 19:01:00
