idEla,lat,lng,comuna,fecha,link,participantes
12027,-32.7569056,-70.7251684,"San Felipe","2016-06-28 10:00:00",15206,"F:25,F:34,F:45,F:49,F:50,F:53,F:55,F:68,F:82,M:40,M:42"
12029,\N,\N,"Maipú","2016-05-17 11:30:00",919,"F:14,F:14,F:14,F:14,F:15,F:15,F:15,M:14,M:14,M:14,M:14,M:14,M:14,M:14,M:14,M:14,M:14,M:14,M:15,M:15,M:15,M:15,M:15,M:15"
12030,\N,\N,"Extranjero","2016-06-18 16:00:00",11254,"F:53,F:60,F:64,F:64,F:66,F:71,F:73,F:87,M:30,M:60,M:66,M:67"
12031,\N,\N,"San Miguel","2016-05-19 13:38:00",762,"F:48,F:55,F:58,F:61,F:61,F:65,F:71,F:72,F:72,F:76,F:78,F:80,F:83,F:86,M:58,M:59,M:79"
12032,-41.4672631,-72.974171,"Puerto Montt","2016-06-21 18:30:00",10471,"F:28,F:42,F:49,F:50,F:52,F:53,M:29,M:44,M:46,M:47,M:47,M:48,M:51,M:56,M:58,M:62,M:64,M:64,M:64,M:64,M:66,M:70"
12033,-34.6361095,-71.1227711,"Placilla","2016-06-28 03:30:00",15505,"F:17,F:28,F:43,F:46,F:47,F:52,F:54,F:56,F:57,F:62,F:67,M:23"
12034,\N,\N,"La Reina","2016-06-27 17:00:00",14207,"F:24,F:25,F:27,F:30,F:31,F:59,M:25,M:28,M:30,M:59"
12035,\N,\N,"Maipú","2016-06-18 15:00:00",9023,"F:30,F:32,F:33,F:41,M:31,M:33,M:35,M:36,M:37,M:41"
12036,-33.5187408,-70.6658599,"San Miguel","2016-06-23 11:15:00",13928,"F:26,F:38,F:42,F:44,F:52,F:52,F:54,F:60,F:61,F:65,F:66,F:66,F:78"
12037,-33.4332104,-70.5937207,"Providencia","2016-06-18 09:30:00",7514,"F:35,F:41,F:50,F:56,F:57,M:39,M:41,M:41,M:46,M:48,M:50,M:56,M:56,M:60,M:73"
12040,\N,\N,"Renca","2016-06-18 18:00:00",7519,"F:20,F:28,F:34,F:38,F:61,M:15,M:18,M:38,M:41,M:65"
12041,\N,\N,"Providencia","2016-06-11 16:00:00",7425,"F:36,F:40,F:41,F:41,F:42,M:27,M:36,M:39,M:39,M:48"
12042,\N,\N,"Ovalle","2016-06-17 23:00:00",4289,"F:28,F:34,F:34,F:36,F:59,M:31,M:32,M:35,M:38,M:65"
12048,-29.9442104,-71.2434919,"La Serena","2016-06-21 15:30:00",12929,"F:23,F:25,F:31,F:34,F:40,F:41,F:44,F:45,F:45,M:15,M:17,M:17,M:34,M:34,M:35,M:35,M:39,M:53"
12051,\N,\N,"Conchalí","2016-06-20 18:00:00",12388,"F:16,F:16,F:16,F:16,F:16,F:17,F:17,F:18,F:18,F:19,M:16,M:16,M:16,M:16,M:16,M:16,M:16,M:17,M:17,M:17,M:17,M:17,M:17,M:18,M:18,M:23"
12053,\N,\N,"La Reina","2016-06-10 18:00:00",2422,"F:43,F:43,F:51,F:65,F:65,F:67,F:68,F:71,F:71,F:73,F:73,F:73,F:73,F:76"
12056,-36.6313089,-72.1254027,"Chillán","2016-06-28 17:00:00",14737,"F:36,F:36,F:57,F:57,M:35,M:41,M:41,M:49,M:54,M:56,M:58,M:59"
12057,-33.4549762,-70.7518356,"Pudahuel","2016-06-11 16:00:00",7627,"F:47,F:52,M:14,M:18,M:22,M:26,M:29,M:31,M:37,M:48,M:52,M:61"
12058,\N,\N,"Estación Central","2016-06-21 14:00:00",7912,"F:27,F:34,F:34,F:38,F:39,F:41,F:58,M:32,M:33,M:35,M:36,M:46,M:62,M:63,M:66,M:69"
12061,\N,\N,"Puerto Montt","2016-06-20 16:00:00",12493,"F:23,F:40,F:53,M:22,M:24,M:25,M:25,M:34,M:36,M:40,M:53,M:60"
12063,\N,\N,"La Cisterna","2016-06-27 15:00:00",15252,"F:17,F:21,F:21,F:24,F:26,F:30,F:32,F:48,F:52,F:75,M:23,M:27,M:34,M:43,M:52"
12066,\N,\N,"Providencia","2016-06-10 19:30:00",4483,"F:30,F:30,F:31,F:32,F:32,F:34,M:30,M:31,M:32,M:33,M:35,M:35"
12067,-33.5326839,-70.5819932,"La Florida","2016-06-18 10:00:00",3011,"F:29,F:34,F:50,F:66,F:67,M:27,M:37,M:37,M:37,M:58,M:68,M:71,M:72"
12069,\N,\N,"Santiago","2016-05-28 10:00:00",3039,"F:48,F:60,F:65,F:65,F:67,F:68,F:69,F:73,F:80,M:48,M:62,M:65,M:66,M:67,M:71,M:78"
12077,\N,\N,"Osorno","2016-05-12 19:30:00",730,"F:26,F:44,F:45,M:34,M:38,M:42,M:44,M:44,M:51,M:55,M:57,M:59,M:65,M:68,M:68,M:73"
12079,-20.2222729,-70.1501844,"Iquique","2016-05-27 18:00:00",3429,"F:19,F:28,F:33,F:39,F:65,M:45,M:46,M:50,M:60,M:61,M:68,M:70"
